S1A_IW_SLC__1SDV_20171205T100354_20171205T100421_019566_02139E_FE8D.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('1f060a94-a869-47db-90f1-3095af35ea7f')/$value,69,POLYGON ((117.389618 35.307674,120.168137 35.710327,120.493179 34.089317,117.770851 33.684807,117.389618 35.307674))
S1A_IW_SLC__1SDV_20171123T100354_20171123T100421_019391_020E20_6FA4.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('818b2ddb-bbcb-431b-8d83-100c75823e34')/$value,69,POLYGON ((117.387642 35.308258,120.166168 35.710957,120.491226 34.090076,117.768890 33.685520,117.387642 35.308258))
S1A_IW_SLC__1SDV_20171111T100355_20171111T100422_019216_020899_5077.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('6f5a15ad-aa78-466c-b526-56d06dd5051b')/$value,69,POLYGON ((117.388298 35.307297,120.166756 35.710003,120.491745 34.089489,117.769455 33.684929,117.388298 35.307297))
S1A_IW_SLC__1SDV_20171030T100355_20171030T100422_019041_020336_1AAB.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('ce9cf2e3-6502-44c8-b361-4d62f5a37744')/$value,69,POLYGON ((117.387894 35.307457,120.166313 35.710152,120.491394 34.089138,117.769165 33.684589,117.387894 35.307457))
S1A_IW_SLC__1SDV_20171018T100355_20171018T100422_018866_01FDE4_9570.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('04760a4a-23c9-462a-b64d-3af7b444b20e')/$value,69,POLYGON ((117.389343 35.308189,120.167717 35.710823,120.492683 34.090172,117.770485 33.685684,117.389343 35.308189))
S1A_IW_SLC__1SDV_20171006T100355_20171006T100422_018691_01F888_B831.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('2506384b-b3b1-4aba-9ff2-c761f7548387')/$value,69,POLYGON ((117.389519 35.308044,120.167816 35.710655,120.492767 34.090000,117.770638 33.685532,117.389519 35.308044))
S1A_IW_SLC__1SDV_20170924T100354_20170924T100421_018516_01F333_5758.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('dfff449d-c497-4524-a72b-7bda87e4623c')/$value,69,POLYGON ((117.389084 35.307281,120.167313 35.709919,120.492294 34.089264,117.770226 33.684769,117.389084 35.307281))
S1A_IW_SLC__1SDV_20170912T100354_20170912T100421_018341_01EDD7_0B8F.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('15375ada-ea26-415a-bbb6-af93b901cbcb')/$value,69,POLYGON ((117.388275 35.309040,120.166443 35.711674,120.491463 34.090893,117.769463 33.686401,117.388275 35.309040))
S1A_IW_SLC__1SDV_20170831T100354_20170831T100421_018166_01E85C_BD8C.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('3f710714-915b-41b2-ab7a-dd483bc6d17d')/$value,69,POLYGON ((117.389053 35.308128,120.167152 35.710743,120.492256 34.089458,117.770332 33.684986,117.389053 35.308128))
S1A_IW_SLC__1SDV_20170819T100353_20170819T100420_017991_01E319_9065.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('6cfcfcc1-48ab-4591-a18d-dca72800d288')/$value,69,POLYGON ((117.389168 35.307777,120.167351 35.710396,120.492363 34.089485,117.770340 33.685009,117.389168 35.307777))
S1A_IW_SLC__1SDV_20170807T100353_20170807T100420_017816_01DDCB_30C6.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('b93e153f-b725-4cd0-b6ec-cf57d7dc9c3f')/$value,69,POLYGON ((117.389641 35.308731,120.167816 35.711288,120.492760 34.090500,117.770752 33.686077,117.389641 35.308731))
S1A_IW_SLC__1SDV_20170726T100352_20170726T100419_017641_01D877_9584.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('b41916b7-dec5-4b81-9d52-b802f6aafbc4')/$value,69,POLYGON ((117.389420 35.308319,120.167580 35.710930,120.492661 34.089645,117.770683 33.685177,117.389420 35.308319))
S1A_IW_SLC__1SDV_20170714T100351_20170714T100418_017466_01D31A_4DE3.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('cb5ccb21-d9d1-43a2-b903-db3a308edb6e')/$value,69,POLYGON ((117.389214 35.307693,120.167389 35.710323,120.492432 34.089291,117.770424 33.684803,117.389214 35.307693))
S1A_IW_SLC__1SDV_20170702T100350_20170702T100417_017291_01CDD0_F977.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('5ed66892-e8fd-44b8-aa3e-5e5352c4cc36')/$value,69,POLYGON ((117.389442 35.307373,120.167557 35.709995,120.492607 34.088959,117.770653 33.684479,117.389442 35.307373))
S1A_IW_SLC__1SDV_20170608T100349_20170608T100416_016941_01C325_1F02.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('ac6dd105-a8d0-46f3-b08c-a034aa48a774')/$value,69,POLYGON ((117.389412 35.307720,120.167549 35.710293,120.492577 34.089130,117.770615 33.684700,117.389412 35.307720))
