S1A_IW_SLC__1SDV_20171205T100303_20171205T100331_019566_02139E_9B87.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('eb7c283d-fcb3-4f3b-902f-732095715a0f')/$value,69,POLYGON ((118.086342 32.318405,120.764725 32.724663,121.096390 31.045132,118.468193 30.636501,118.086342 32.318405)),
S1A_IW_SLC__1SDV_20171123T100304_20171123T100332_019391_020E20_30F6.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('e6fe750c-a1ea-4e89-92be-2b04e0bdd509')/$value,69,POLYGON ((118.084503 32.318748,120.762817 32.725044,121.094574 31.045269,118.466454 30.636600,118.084503 32.318748)),
S1A_IW_SLC__1SDV_20171111T100304_20171111T100332_019216_020899_9F08.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('03971e89-dffb-4108-831b-087fc7d7e2cf')/$value,69,POLYGON ((118.084991 32.318527,120.763268 32.724831,121.094910 31.045671,118.466805 30.636999,118.084991 32.318527)),
S1A_IW_SLC__1SDV_20171030T100304_20171030T100332_019041_020336_1691.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('8b5a929c-4533-4019-8f9a-56de0cf52937')/$value,69,POLYGON ((118.084709 32.318062,120.763000 32.724361,121.094681 31.044950,118.466576 30.636282,118.084709 32.318062)),
S1A_IW_SLC__1SDV_20171018T100304_20171018T100332_018866_01FDE4_6A12.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('e24ccefc-20f7-4d01-b6a1-1f1b9b34f45f')/$value,69,POLYGON ((118.085999 32.319145,120.764191 32.725376,121.095886 31.045712,118.467880 30.637108,118.085999 32.319145)),
S1A_IW_SLC__1SDV_20171006T100304_20171006T100332_018691_01F888_A293.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('3d46fe3e-a7b8-46cb-ae3f-233d10148b2e')/$value,69,POLYGON ((118.086174 32.318863,120.764282 32.725075,121.095917 31.045650,118.467972 30.637068,118.086174 32.318863)),
S1A_IW_SLC__1SDV_20170924T100304_20170924T100332_018516_01F333_D7D2.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('293ac600-731e-416c-a3ef-151a1e208c0f')/$value,69,POLYGON ((118.085739 32.318226,120.763802 32.724464,121.095383 31.045412,118.467476 30.636801,118.085739 32.318226)),
S1A_IW_SLC__1SDV_20170912T100304_20170912T100331_018341_01EDD7_980C.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('dc7da9d6-74a0-48ae-9a69-add6ea5abc0c')/$value,69,POLYGON ((118.085114 32.319363,120.763123 32.725601,121.094894 31.045677,118.467064 30.637064,118.085114 32.319363)),
S1A_IW_SLC__1SDV_20170831T100303_20170831T100331_018166_01E85C_4560.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('59b4c3dc-5d59-4d57-a44a-dba3bfb565dd')/$value,69,POLYGON ((118.085876 32.318310,120.763863 32.724537,121.095543 31.044979,118.467720 30.636379,118.085876 32.318310)),
S1A_IW_SLC__1SDV_20170819T100303_20170819T100331_017991_01E319_E29C.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('797c352e-03a2-4f4c-aca8-2ab149618a00')/$value,69,POLYGON ((118.085869 32.318340,120.763885 32.724560,121.095474 31.045376,118.467606 30.636782,118.085869 32.318340)),
S1A_IW_SLC__1SDV_20170807T100302_20170807T100330_017816_01DDCB_6A67.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('e4252a78-333d-4069-81ea-6c17b6f30fd1')/$value,69,POLYGON ((118.086250 32.319401,120.764252 32.725563,121.095947 31.045633,118.468124 30.637093,118.086250 32.319401)),
S1A_IW_SLC__1SDV_20170726T100301_20170726T100329_017641_01D877_7AFE.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('49db84d1-0f6b-4cae-9221-dcf05d06a074')/$value,69,POLYGON ((118.086288 32.318130,120.764328 32.724354,121.096039 31.044552,118.468170 30.635952,118.086288 32.318130)),
S1A_IW_SLC__1SDV_20170714T100301_20170714T100328_017466_01D31A_9859.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('54e7df20-5ef1-4eae-9b5f-6edea24b41dc')/$value,69,POLYGON ((118.085930 32.318256,120.764008 32.724495,121.095673 31.044945,118.467758 30.636328,118.085930 32.318256)),
S1A_IW_SLC__1SDV_20170702T100300_20170702T100328_017291_01CDD0_E9F6.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('3358ec28-1e5c-481a-b2bf-ae5c5db5b0f8')/$value,69,POLYGON ((118.086159 32.317928,120.764114 32.724152,121.095787 31.044600,118.467995 30.635998,118.086159 32.317928)),
S1A_IW_SLC__1SDV_20170608T100259_20170608T100327_016941_01C325_56F2.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('54f95657-55c7-4cee-b09c-5b10e119e026')/$value,69,POLYGON ((118.086113 32.318020,120.764076 32.724197,121.095779 31.044268,118.467995 30.635714,118.086113 32.318020)),
S1A_IW_SLC__1SDV_20170527T100258_20170527T100326_016766_01BDB5_28E4.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('ba079b63-86f4-4943-96bd-3b70c834caf4')/$value,69,POLYGON ((118.086906 32.318478,120.764786 32.724659,121.096413 31.045218,118.468697 30.636663,118.086906 32.318478)),
